undirected weighted
1 81 218
1 26 100
1 32 218
1 71 97
2 51 146
2 91 219
2 5 104
2 29 82
3 24 158
3 55 211
3 68 118
3 53 220
4 32 201
4 55 85
4 68 134
4 47 49
5 72 133
5 12 194
5 86 244
5 45 236
6 13 73
6 79 223
6 87 174
6 37 102
7 22 223
7 35 72
7 63 135
7 86 67
8 70 76
8 61 148
8 50 236
8 39 161
9 56 250
9 78 260
9 42 210
9 52 174
10 78 273
10 99 197
10 66 217
10 23 165
11 54 188
11 99 91
11 34 192
11 59 110
12 89 167
12 55 146
12 69 143
12 21 210
13 49 111
13 21 149
13 90 202
13 50 219
14 42 111
14 3 85
14 47 170
14 70 205
15 17 183
15 78 211
15 2 109
15 47 122
16 36 105
16 70 158
16 88 266
16 32 155
17 89 133
17 39 107
17 19 154
17 6 119
18 48 130
18 93 213
18 45 216
18 5 90
19 91 62
19 22 196
19 10 168
19 49 141
20 3 183
20 24 46
20 57 98
20 14 133
21 46 66
21 90 188
21 26 192
21 77 57
22 88 176
22 94 160
22 78 291
22 97 251
23 9 189
23 78 103
23 28 165
23 20 205
24 2 123
24 33 190
24 28 138
24 10 155
25 28 83
25 30 241
25 43 163
25 95 56
26 25 216
26 85 217
26 18 162
26 56 194
27 80 284
27 2 239
27 50 84
27 69 305
28 17 150
28 36 163
28 16 137
28 10 222
29 37 178
29 65 184
29 84 174
29 31 149
30 61 200
30 27 268
30 60 293
30 23 120
31 73 122
31 17 153
31 30 223
31 62 181
32 87 288
32 3 77
32 60 123
32 6 155
33 42 248
33 36 134
33 50 206
33 46 110
34 26 189
34 42 220
34 53 250
34 8 160
35 64 272
35 47 96
35 66 161
35 33 110
36 21 176
36 79 148
36 70 78
36 48 164
37 10 205
37 33 198
37 31 61
37 79 136
38 42 179
38 14 152
38 30 184
38 27 113
39 48 84
39 95 151
39 32 170
39 24 183
40 7 231
40 3 276
40 18 118
40 99 94
41 59 197
41 44 203
41 21 172
41 56 246
42 31 76
42 68 108
42 44 128
42 64 69
43 54 248
43 49 192
43 85 241
43 1 217
44 60 130
44 74 218
44 93 178
44 1 131
45 40 207
45 1 267
45 34 155
45 20 169
46 100 156
46 60 127
46 45 171
46 38 71
47 6 119
47 56 202
47 64 181
47 31 114
48 52 112
48 27 125
48 77 86
48 94 132
49 26 106
49 60 138
49 81 186
49 33 84
50 94 221
50 49 201
50 41 227
50 23 207
51 99 135
51 77 146
51 67 35
51 30 217
52 36 54
52 5 112
52 80 125
52 69 181
53 78 224
53 63 175
53 74 242
53 8 165
54 91 229
54 10 183
54 38 217
54 71 198
55 91 202
55 90 218
55 27 161
55 16 72
56 43 174
56 45 183
56 48 121
56 37 152
57 11 208
57 14 78
57 35 244
57 56 161
58 96 59
58 29 92
58 53 251
58 5 116
59 96 152
59 26 209
59 32 190
59 84 137
60 64 109
60 26 262
60 47 222
60 96 171
61 50 146
61 90 26
61 53 158
61 15 185
62 29 115
62 81 85
62 2 81
62 75 190
63 92 80
63 83 170
63 31 146
63 14 188
64 72 253
64 8 187
64 43 262
64 32 73
65 93 105
65 28 106
65 73 199
65 62 259
66 54 64
66 94 158
66 44 197
66 16 108
67 62 212
67 50 121
67 3 171
67 39 93
68 12 204
68 9 232
68 17 92
68 85 114
69 42 186
69 19 266
69 5 245
69 66 181
70 6 80
70 84 101
70 23 167
70 93 190
71 23 89
71 42 229
71 32 226
71 29 91
72 28 159
72 17 193
72 52 65
72 37 176
73 16 221
73 87 136
73 71 101
73 20 116
74 86 165
74 52 124
74 14 220
74 63 115
75 76 102
75 87 185
75 16 79
75 82 171
76 27 209
76 73 154
76 45 138
76 44 106
77 26 206
77 55 138
77 78 251
77 54 189
78 74 266
78 27 160
78 7 189
78 92 228
79 26 191
79 82 171
79 93 229
79 35 264
80 46 162
80 59 202
80 17 282
80 20 151
81 41 190
81 82 187
81 7 129
81 77 218
82 57 179
82 52 143
82 99 108
82 15 140
83 65 212
83 56 174
83 17 193
83 14 236
84 61 101
84 26 137
84 57 84
84 80 158
85 74 232
85 70 174
85 21 117
85 58 199
86 15 204
86 95 241
86 3 224
86 87 113
87 36 136
87 10 172
87 5 186
87 14 257
88 82 73
88 59 205
88 71 80
88 74 48
89 91 223
89 37 120
89 57 193
89 42 129
90 9 179
90 44 122
90 37 146
90 75 180
91 14 142
91 3 136
91 71 204
91 36 199
92 56 161
92 51 104
92 32 235
92 81 226
93 36 158
93 83 273
93 43 296
93 96 269
94 3 247
94 67 121
94 16 173
94 4 122
95 63 203
95 15 266
95 82 241
95 75 126
96 98 149
96 65 251
96 9 227
96 97 78
97 40 67
97 13 201
97 39 154
97 5 52
98 28 225
98 53 195
98 79 241
98 13 202
99 2 45
99 24 149
99 36 166
99 81 78
100 94 157
100 98 180
100 20 109
100 7 203
