vertex_name,position_x,position_y
1,-88,-7
2,-14,-58
3,98,90
4,-41,43
5,74,-77
6,-31,28
7,-71,-77
8,-44,5
9,-76,19
10,-90,-66
11,-39,-52
12,-48,-81
13,-36,84
14,78,64
15,-17,-92
16,26,70
17,68,55
18,24,-38
19,73,-47
20,-26,18
21,63,55
22,-42,71
23,8,-85
24,-52,44
25,62,39
26,-38,-70
27,98,33
28,72,1
29,-5,-40
30,-35,-98
31,-1,20
32,98,87
33,2,-62
34,53,-35
35,-86,-11
36,-19,-7
37,8,60
38,19,-23
39,76,8
40,90,-87
41,-95,24
42,16,93
43,36,-84
44,28,-23
45,92,86
46,18,30
47,-42,0
48,40,49
49,-23,-3
50,98,26
51,-32,45
52,26,-31
53,-36,96
54,-63,91
55,-35,61
56,78,-15
57,45,76
58,40,-49
59,43,11
60,61,77
61,47,-35
62,-16,-89
63,-86,21
64,82,87
65,7,80
66,-34,78
67,-8,25
68,41,84
69,-96,-42
70,-44,8
71,-15,-39
72,-20,-54
73,-58,-42
74,-80,-78
75,37,39
76,-16,46
77,91,67
78,95,-84
79,94,-40
80,-89,-46
81,48,-91
82,-74,-55
83,-23,-78
84,-4,34
85,56,74
86,-83,-12
87,-10,-91
88,-51,-100
89,-47,0
90,24,-46
91,97,0
92,-42,26
93,-76,98
94,-67,-22
95,36,83
96,47,-76
97,64,-81
98,-69,-77
99,24,-73
100,-40,54
