vertex_name,position_x,position_y
1,-746,-644
2,628,80
3,277,649
4,502,249
5,77,-318
6,-869,607
7,635,933
8,-637,709
9,414,448
10,-852,956
11,-4,952
12,-545,91
13,-886,-800
14,480,-482
15,703,728
16,-95,876
17,586,-919
18,-320,723
19,113,-944
20,90,347
21,464,714
22,-99,963
23,518,-513
24,19,-618
25,870,-763
26,-875,335
27,-198,-198
28,-887,-162
29,-395,-630
30,-773,496
31,-63,759
32,523,437
33,-231,-146
34,485,622
35,-453,-684
36,-207,541
37,-36,80
38,-401,-996
39,-98,-331
40,-439,442
41,929,-105
42,-981,801
43,-549,-709
44,-581,387
45,-683,445
46,-68,-563
47,-274,-445
48,-293,990
49,351,365
50,-790,967
51,-293,188
52,195,-198
53,-910,-857
54,-432,-583
55,-204,357
56,-130,-470
57,-178,-122
58,-647,766
59,-350,-849
60,-355,571
61,-943,-546
62,-612,-196
63,20,453
64,744,-605
65,-410,215
66,37,450
67,-929,-497
68,-12,557
69,-423,839
70,-849,-512
71,-859,-161
72,855,-40
73,-37,-732
74,532,960
75,-259,-383
76,620,776
77,588,265
78,936,-8
79,-540,319
80,848,518
81,433,-612
82,65,-590
83,-658,54
84,-831,489
85,-96,-608
86,-839,-783
87,-801,-836
88,34,-11
89,-243,-239
90,429,602
91,-728,43
92,-704,-563
93,448,155
94,-850,-426
95,701,-952
96,623,-393
97,496,-117
98,702,822
99,660,-165
100,-42,-672
101,-691,-990
102,-473,580
103,455,373
104,-244,-757
105,-815,716
106,134,-808
107,210,560
108,229,610
109,-448,649
110,-234,537
111,637,-813
112,777,418
113,839,429
114,118,854
115,32,911
116,265,-343
117,807,-257
118,-612,-862
119,75,910
120,-715,-674
121,449,-750
122,334,891
123,506,-151
124,172,-32
125,-817,894
126,-420,-463
127,494,149
128,-22,-488
129,-443,615
130,-542,-280
131,1,-569
132,-936,860
133,-292,-333
134,48,-998
135,-589,863
136,142,788
137,573,-59
138,-573,-646
139,-354,889
140,885,-916
141,131,-57
142,44,-262
143,-949,219
144,-504,-432
145,-84,971
146,-531,691
147,-347,792
148,931,63
149,-270,-504
150,-545,817
151,-89,508
152,-715,712
153,-356,-589
154,-327,736
155,677,-997
156,-23,-115
157,265,-59
158,697,89
159,-313,619
160,26,-129
161,531,-836
162,-249,697
163,-912,412
164,279,-236
165,-106,-153
166,23,-760
167,-16,-735
168,-693,-682
169,-150,-561
170,818,574
171,-508,141
172,439,563
173,-918,454
174,127,-595
175,-116,619
176,-554,655
177,-466,445
178,-145,172
179,-700,-686
180,-438,299
181,-792,679
182,-63,-889
183,-633,-646
184,286,364
185,344,-57
186,-3,-322
187,770,368
188,459,325
189,-439,403
190,680,-646
191,724,-991
192,-848,950
193,-496,-642
194,555,-194
195,-31,-755
196,999,63
197,593,135
198,829,-581
199,630,-658
200,-470,20
201,-39,-568
202,326,611
203,232,-481
204,944,503
205,-739,317
206,836,114
207,-267,61
208,-559,231
209,-534,67
210,526,-392
211,440,848
212,857,-860
213,171,741
214,431,-809
215,503,-923
216,-931,647
217,-535,541
218,-811,-729
219,-842,-819
220,575,187
221,-548,-178
222,766,-217
223,631,-738
224,901,377
225,493,862
226,-526,-890
227,-924,-690
228,-413,-45
229,24,-619
230,320,570
231,480,-833
232,-164,104
233,799,245
234,-358,161
235,987,253
236,167,731
237,918,428
238,-591,457
239,-497,-819
240,-167,-83
241,572,-632
242,21,815
243,388,669
244,-268,327
245,-90,720
246,-717,-296
247,-239,-456
248,-557,547
249,-559,-994
250,238,117
251,-918,448
252,-423,-769
253,-295,777
254,-825,-627
255,-977,396
256,258,-527
257,-52,-354
258,825,-21
259,-313,166
260,75,-663
261,-178,-170
262,279,944
263,-667,205
264,-951,183
265,71,-900
266,407,-14
267,714,-498
268,-513,-372
269,-192,6
270,766,-117
271,727,-679
272,310,-732
273,-713,415
274,807,749
275,-855,60
276,-769,127
277,-391,-73
278,-92,-607
279,-3,-818
280,-290,227
281,-963,55
282,-276,-668
283,173,-661
284,22,209
285,-679,-364
286,865,-853
287,-234,363
288,784,210
289,106,460
290,226,399
291,-833,-576
292,533,495
293,6,35
294,751,-699
295,-575,-462
296,-840,-477
297,-308,327
298,681,-877
299,103,874
300,896,708
301,429,-448
302,11,256
303,-804,203
304,-809,-624
305,784,-928
306,-974,450
307,890,-496
308,-176,483
309,760,929
310,-489,-785
311,692,-434
312,-577,-521
313,62,-184
314,-694,-365
315,811,137
316,-774,-936
317,-46,372
318,349,-149
319,611,983
320,61,-757
321,-18,-111
322,954,425
323,258,379
324,225,476
325,792,176
326,-888,-284
327,-78,962
328,879,-186
329,274,-80
330,491,602
331,399,439
332,416,-141
333,967,-865
334,726,-713
335,-193,-446
336,610,-568
337,-187,-334
338,-941,-876
339,351,-767
340,708,-583
341,-133,-706
342,-645,600
343,315,812
344,-667,462
345,331,581
346,747,592
347,-580,497
348,97,560
349,-283,359
350,-779,916
351,216,762
352,653,188
353,396,995
354,683,135
355,-751,-70
356,-813,454
357,765,-172
358,-676,-149
359,-171,592
360,-368,927
361,-69,53
362,343,-304
363,132,100
364,-524,-336
365,-469,-310
366,330,360
367,614,812
368,143,532
369,653,261
370,-892,-263
371,141,-732
372,-924,281
373,-614,956
