undirected weighted
1 3 51
1 14 82
1 17 120
1 20 104
2 6 131
2 20 67
2 5 144
2 15 59
3 13 35
3 9 98
3 6 82
3 2 36
4 6 101
4 15 44
4 8 61
4 2 48
5 11 33
5 16 25
5 3 110
5 18 122
6 9 21
6 14 32
6 5 87
6 20 98
7 12 87
7 10 77
7 9 18
7 19 88
8 19 78
8 12 109
8 15 93
8 14 78
9 18 29
9 15 100
9 8 35
9 14 106
10 5 47
10 14 133
10 17 114
10 12 42
11 15 127
11 6 46
11 16 32
11 3 28
12 11 62
12 1 115
12 18 41
12 19 127
13 1 110
13 18 67
13 6 38
13 16 42
14 13 14
14 5 86
14 11 104
14 18 60
15 1 61
15 18 44
15 19 80
15 20 94
16 1 8
16 14 33
16 12 94
16 18 20
17 3 100
17 12 43
17 13 39
17 9 68
18 2 37
18 3 42
18 7 87
18 19 37
19 20 114
19 17 48
19 1 32
19 6 38
20 16 67
20 11 54
20 7 52
20 13 122
