undirected weighted
1 3237 12073
1 620 15128
1 5472 15253
1 5426 10789
2 6285 4182
2 606 11216
2 2342 18327
2 2075 20855
3 6178 2761
3 7902 20563
3 831 6816
3 4998 7230
4 7657 17223
4 5392 15530
4 864 15898
4 8923 13244
5 9204 7173
5 5826 14652
5 5832 5708
5 2173 5586
6 114 18682
6 2982 15981
6 5904 14231
6 5288 9569
7 3561 13764
7 3221 7244
7 3164 8869
7 4109 8068
8 5735 15742
8 4647 4045
8 4340 10347
8 8463 2717
9 5827 6979
9 8307 12508
9 2682 7234
9 5262 10879
10 7039 4774
10 2339 15586
10 4751 14961
10 5726 5697
11 6569 10100
11 1656 7538
11 261 5445
11 4574 8556
12 6183 3351
12 2551 8838
12 2066 6480
12 9246 11347
13 3660 10891
13 1832 11575
13 1602 21787
13 1165 14100
14 6261 10915
14 848 7389
14 6664 12062
14 581 4858
15 4294 13580
15 4111 7014
15 4159 10437
15 7223 10329
16 5587 11784
16 9184 1289
16 9829 5455
16 528 9602
17 4879 16021
17 8224 7656
17 6321 7527
17 5154 4050
18 1923 4750
18 9522 9953
18 4484 9789
18 1114 16069
19 767 20598
19 2091 16264
19 6310 3825
19 9146 5590
20 2068 17005
20 5780 20799
20 8635 6924
20 6969 16159
21 8960 7560
21 5293 20269
21 9249 8232
21 72 15140
22 8544 15832
22 7994 6651
22 5103 15676
22 8139 17223
23 1022 9853
23 9652 11181
23 5634 8570
23 3341 5539
24 6376 9216
24 9193 8185
24 9536 15642
24 9167 6477
25 9674 13050
25 3699 16504
25 3685 6009
25 2840 3281
26 6247 13692
26 3046 13503
26 9991 13151
26 7038 20088
27 7017 2761
27 4785 15833
27 1174 8818
27 7724 11687
28 2612 6566
28 4960 23016
28 7237 20909
28 5879 19037
29 9464 9122
29 4250 3854
29 6621 2761
29 269 11841
30 8596 11441
30 9094 16454
30 6294 19225
30 3804 8649
31 9038 15757
31 2036 21889
31 3892 8250
31 3556 14650
32 3851 3345
32 6311 5000
32 155 15047
32 5890 6024
33 3120 5599
33 1401 1008
33 4519 6494
33 3155 13408
34 1633 10632
34 1555 9164
34 6294 17254
34 5226 15603
35 7776 13744
35 4571 18655
35 2275 12857
35 6636 6458
36 4208 13594
36 8439 9245
36 6401 13302
36 9569 5515
37 706 10967
37 4701 5707
37 5127 5154
37 4473 7135
38 4567 9050
38 3195 5182
38 4776 7188
38 7793 11147
39 6278 5358
39 3554 6143
39 1942 7648
39 3667 9173
40 4024 19317
40 6052 2193
40 8515 10894
40 1802 11862
41 866 4186
41 6602 11195
41 6387 9022
41 5196 7406
42 7407 7878
42 1285 13570
42 2100 1605
42 4132 17853
43 3797 17475
43 2538 9327
43 2299 10333
43 7325 13702
44 6135 8164
44 8747 20087
44 3987 13969
44 2460 14857
45 2428 7923
45 5925 2635
45 633 17385
45 6251 3169
46 7963 6317
46 4773 5337
46 7195 9547
46 9914 4830
47 5687 4550
47 9861 7853
47 1246 970
47 4286 4458
48 1871 9906
48 4634 4829
48 5572 13223
48 3792 12728
49 4175 18100
49 7642 8577
49 8028 12911
49 2596 7442
50 4536 1473
50 4098 4636
50 4619 1534
50 1027 5543
51 2270 12825
51 9379 15386
51 785 17429
51 4422 10013
52 6412 6321
52 7369 8133
52 4531 9478
52 4374 4412
53 81 10891
53 9418 11436
53 4319 14953
53 9936 19217
54 7028 16875
54 7145 13632
54 4147 17356
54 3213 671
55 9436 11072
55 6550 7613
55 3602 1582
55 1680 16030
56 9470 12306
56 898 7472
56 1806 6768
56 287 12728
57 3603 16574
57 2801 13888
57 4190 6753
57 8531 11983
58 4067 2055
58 3006 10135
58 3870 10600
58 2236 16247
59 8896 7625
59 389 7632
59 6813 16502
59 2437 4989
60 9706 4294
60 9376 10436
60 9586 5547
60 5764 14391
61 8006 2786
61 6542 14092
61 4650 8128
61 3485 10443
62 1085 3536
62 5512 6560
62 261 4002
62 7737 10173
63 5367 8851
63 7685 4080
63 6922 6873
63 286 5565
64 8823 5923
64 9200 6051
64 5709 19422
64 5792 12956
65 172 3786
65 2491 10355
65 4820 14671
65 1409 11264
66 5496 20004
66 6437 16256
66 7359 8481
66 4847 4824
67 7796 16658
67 5977 17891
67 879 17053
67 978 15437
68 8148 3611
68 2745 15177
68 3277 9073
68 4844 11410
69 3970 5318
69 7191 13955
69 2364 11077
69 2905 7478
70 1006 2194
70 7466 5043
70 1824 16451
70 5722 10209
71 6140 17988
71 2234 15282
71 1286 12066
71 6195 11654
72 8530 2504
72 2426 13699
72 8286 2449
72 8737 14385
73 8437 5081
73 2686 5726
73 3758 14376
73 4022 6009
74 4427 18693
74 4080 9211
74 8856 5367
74 7392 17806
75 5536 19978
75 5444 12018
75 6847 4018
75 88 14136
76 8537 5975
76 5714 17955
76 2982 12796
76 8898 15075
77 7022 13325
77 4256 10030
77 7349 15701
77 9020 9541
78 8219 13263
78 3926 14817
78 5071 16038
78 5217 9210
79 2123 21613
79 377 19089
79 1260 17783
79 4585 20292
80 2895 15921
80 8892 21327
80 1110 7546
80 1587 3812
81 279 15974
81 6323 10698
81 6304 12011
81 3124 14869
82 8909 13709
82 295 7547
82 7593 3760
82 5055 9373
83 2032 18594
83 1848 16464
83 6145 7284
83 7563 20160
84 8990 10096
84 8538 20048
84 9857 14565
84 4788 6666
85 6460 11845
85 4043 14525
85 5566 8483
85 9942 18651
86 4191 14910
86 1056 8884
86 9236 8981
86 9816 12936
87 1779 12627
87 4138 7758
87 9143 7335
87 791 8242
88 8785 3630
88 8889 6178
88 9365 4561
88 5384 20467
89 1027 12646
89 2618 6865
89 9986 16727
89 7589 17390
90 9931 8050
90 3203 18873
90 7455 21026
90 3623 6440
91 1277 19537
91 9597 19491
91 7965 16541
91 5034 14343
92 3043 7318
92 7446 9132
92 5503 14535
92 4589 974
93 8840 18534
93 6701 5427
93 222 17668
93 5251 5861
94 8315 10046
94 9729 10166
94 1355 6740
94 6566 9484
95 7597 13846
95 1888 3071
95 3155 20625
95 5769 3217
96 8594 8909
96 1138 13478
96 1856 8888
96 5979 17542
97 5209 7447
97 3836 20660
97 9249 8869
97 6233 14513
98 1754 4971
98 2581 8873
98 7712 2515
98 6847 1691
99 6199 6987
99 7160 3723
99 5698 6117
99 7672 16185
100 1506 15000
100 8698 16218
100 1225 9816
100 8015 9971
101 6805 16831
101 3494 13328
101 5965 9698
101 2151 8227
102 4542 4349
102 2011 7999
102 7578 3662
102 3162 6564
103 4291 16187
103 329 8142
103 2383 16328
103 8676 11607
104 5013 10658
104 8614 3880
104 3732 14975
104 9976 6546
105 9811 13372
105 2322 2519
105 7047 9812
105 8174 7172
106 5711 16209
106 7108 10044
106 2961 19926
106 8135 2212
107 2512 1605
107 3439 12659
107 4627 6020
107 4172 3776
108 9255 7512
108 160 13071
108 5132 12559
108 3668 1776
109 3742 13934
109 7397 2913
109 9272 8694
109 3735 10496
110 8352 11243
110 7096 5773
110 3035 14807
110 320 4844
