vertex_name,position_x,position_y
1,7318,3298
2,5862,-8478
3,2701,9015
4,-8871,2942
5,-4092,-5961
6,-9163,3215
7,9759,1748
8,7998,-4851
9,-178,-375
10,-8098,-4849
11,-2360,495
12,-10,-8062
13,5410,7423
14,3908,6062
15,9421,-8316
16,8067,6869
17,2352,5000
18,7197,3231
19,9390,6239
20,-7458,8658
21,-4694,-5558
22,9122,8828
23,2393,9639
24,-8488,5875
25,6605,-8550
26,-6192,-7143
27,230,-3678
28,-8452,-7299
29,-685,3195
30,-5285,9066
31,-2044,-9646
32,-6704,-4015
33,719,1649
34,-2179,6073
35,8968,-5123
36,-7553,5472
37,-950,1811
38,1711,-1323
39,-337,3781
40,8192,7890
41,-4716,-1316
42,8895,6007
43,9703,201
44,9367,-5031
45,4164,4817
46,69,8265
47,-7267,250
48,-3889,-4398
49,-7960,-161
50,-7948,2183
51,9172,-1214
52,3406,-6818
53,-5701,-7270
54,881,-8617
55,7628,-2286
56,5838,4681
57,-662,-6795
58,1893,7196
59,-6508,2304
60,1981,-3142
61,6893,-5835
62,-5605,1257
63,-2443,4037
64,5522,-9293
65,-3100,-4666
66,-1803,-9062
67,7111,-9212
68,3371,-5811
69,-3423,4998
70,-101,6377
71,-9743,5661
72,7316,3597
73,3909,182
74,5545,8946
75,8168,-4253
76,-6057,2038
77,7856,-8664
78,7983,-8138
79,9214,9433
80,5929,-9190
81,-7964,3348
82,6090,-5424
83,5558,8693
84,8236,-5663
85,-7842,-9418
86,-9279,-4810
87,1198,-8432
88,5610,9559
89,-1446,-9073
90,9376,-1901
91,-5437,9786
92,4300,-598
93,1552,8927
94,3572,6626
95,9026,4251
96,8805,6309
97,-4667,-7127
98,3786,-4130
99,-4361,6193
100,-7698,162
101,-9198,1181
102,1722,-3864
103,-6389,8523
104,1555,-6526
105,-4437,6925
106,6864,-7740
107,649,-2700
108,8246,-2485
109,3858,80
110,-129,-4637
111,6673,9583
112,-286,-2459
113,5936,4591
114,5336,-8408
115,5259,-9780
116,-4000,1688
117,9022,5854
118,-4137,-6299
119,-7450,3412
120,8470,4596
121,-5185,-6215
122,6801,-272
123,5885,8701
124,1365,-1143
125,5860,6332
126,-7089,-6566
127,-4515,-2883
128,-8537,-3325
129,-9995,3037
130,-8150,-4998
131,1920,3611
132,-489,6815
133,3309,6271
134,6357,-7443
135,9895,-8844
136,2099,7282
137,7590,-2625
138,4985,6734
139,-5205,6340
140,5552,-2957
141,3226,9422
142,-8317,930
143,745,-1092
144,6685,-344
145,-8531,9047
146,-5144,9532
147,3837,-2936
148,4691,8366
149,6886,-7523
150,-5361,4924
151,-4891,2538
152,-6508,9360
153,-2491,-148
154,7991,-6548
155,7887,-683
156,7459,8059
157,-1480,-2184
158,-6543,-3938
159,-6861,9758
160,-1841,5791
161,6804,-3557
162,9032,-3416
163,-8244,-9106
164,-8541,8791
165,1425,4618
166,1921,4313
167,4615,9461
168,-2008,-3407
169,173,-6325
170,-7465,8008
171,4278,-4876
172,422,-3545
173,9778,1800
174,2655,2183
175,-4800,-1743
176,-4947,-3647
177,3424,2933
178,-7113,-9847
179,5212,-5419
180,-4787,3178
181,3050,-356
182,6345,-155
183,9765,-8278
184,7070,-1582
185,9404,4751
186,468,9017
187,6296,1593
188,-1636,7169
189,814,4478
190,-3779,-3363
191,-8342,3920
192,-5533,4708
193,369,6855
194,-9946,2743
195,8517,5682
196,5229,8399
197,2718,-9473
198,4500,9441
199,-6318,9934
200,572,-3661
201,-9710,-639
202,4508,4984
203,-9578,-6532
204,6807,9167
205,7732,-2572
206,-9919,7008
207,2499,7542
208,-7916,1168
209,-9552,-1114
210,-3080,4551
211,1510,744
212,5481,7419
213,4734,-456
214,4807,-9980
215,7853,449
216,-9592,-3961
217,3854,5039
218,2670,-3283
219,-4996,3321
220,-1674,2067
221,-8499,8717
222,2364,-8643
223,-1114,14
224,-7235,-1245
225,-2174,-199
226,-3035,4193
227,-8909,-6967
228,520,8193
229,3439,3986
230,-2630,7984
231,2904,7319
232,359,-6208
233,6320,-1182
234,3705,1014
235,-4465,-6491
236,2453,-4329
237,2839,-5716
238,8796,-100
239,-6388,8395
240,-3801,6189
241,-8010,8635
242,-291,8101
243,6932,8695
244,928,4965
245,-5672,-5585
246,2130,-2611
247,9350,-9981
248,-4750,-3120
249,-5231,-9734
250,-4445,-7846
251,4825,-3703
252,6841,-7891
253,-4006,6682
254,-3112,-5599
255,-2336,-3460
256,4804,8945
257,-9616,2017
258,5417,4117
259,-2774,-9929
260,-5701,2589
261,-6830,-2538
262,-2717,4640
263,-8432,-4764
264,188,2406
265,6025,1036
266,2179,-4182
267,-9075,9855
268,-8643,7754
269,-1486,-8599
270,6174,9551
271,-771,-4773
272,7805,-3008
