undirected weighted
1 18 132
1 49 155
1 2 107
1 21 43
2 18 100
2 44 68
2 33 141
2 7 121
3 20 49
3 22 194
3 9 83
3 45 113
4 46 75
4 47 68
4 21 161
4 24 123
5 39 183
5 26 180
5 35 187
5 6 103
6 7 114
6 28 67
6 44 65
6 17 90
7 16 49
7 4 24
7 25 112
7 41 126
8 34 128
8 45 108
8 37 164
8 47 85
9 30 45
9 44 88
9 45 88
9 7 148
10 26 61
10 50 32
10 42 77
10 5 147
11 21 125
11 39 156
11 32 138
11 27 61
12 2 152
12 44 123
12 4 120
12 10 71
13 41 73
13 25 39
13 17 125
13 47 88
14 26 135
14 7 175
14 46 69
14 5 139
15 18 144
15 29 85
15 7 120
15 49 145
16 34 128
16 1 88
16 25 80
16 43 110
17 18 58
17 21 101
17 12 140
17 3 139
18 30 100
18 8 97
18 27 99
18 31 115
19 44 67
19 34 43
19 6 81
19 11 52
20 2 58
20 27 75
20 37 56
20 18 102
21 5 77
21 10 111
21 9 150
21 14 104
22 35 180
22 23 89
22 36 116
22 19 57
23 17 113
23 45 57
23 10 61
23 31 132
24 46 121
24 35 121
24 23 88
24 18 147
25 17 131
25 45 135
25 38 72
25 8 118
26 49 138
26 1 144
26 21 181
26 46 33
27 46 82
27 42 34
27 1 113
27 47 57
28 16 112
28 20 169
28 43 112
28 24 120
29 49 145
29 28 124
29 35 48
29 30 37
30 16 58
30 21 188
30 2 120
30 47 131
31 7 122
31 34 126
31 40 114
31 10 62
32 23 56
32 36 108
32 14 75
32 43 155
33 6 67
33 16 72
33 44 139
33 43 120
34 28 97
34 46 59
34 43 110
34 7 109
35 34 149
35 25 125
35 28 147
35 13 129
36 5 157
36 39 103
36 44 97
36 6 98
37 31 80
37 45 36
37 43 178
37 2 167
38 24 156
38 31 106
38 4 105
38 28 111
39 1 157
39 6 124
39 45 85
39 4 129
40 22 65
40 4 98
40 49 107
40 43 145
41 6 30
41 14 141
41 9 80
41 43 94
42 47 121
42 17 42
42 7 130
42 12 91
43 8 53
43 6 95
43 9 137
43 47 135
44 22 99
44 29 27
44 8 93
44 24 86
45 41 80
45 17 154
45 11 79
45 24 143
46 23 91
46 29 19
46 44 67
46 6 88
47 48 124
47 2 94
47 39 142
47 31 82
48 41 29
48 21 102
48 19 62
48 4 122
49 8 179
49 44 111
49 37 136
49 50 138
50 29 45
50 24 97
50 5 92
50 7 59
