directed weighted
1 2 12
1 3 3
1 4 0
1 5 9
2 6 9
2 7 2
2 8 7
2 9 4
3 10 5
3 11 3
3 12 6
3 13 6
4 14 9
4 15 8
4 16 6
4 17 1
5 18 9
5 19 4
5 20 6
5 21 3
9 11 2
2 1 2
5 9 7
12 2 8
6 17 9
7 5 1
19 5 1
7 15 6
14 12 2
19 16 8
8 7 -1
10 7 1
10 21 0
14 21 6
9 4 7
18 21 2
16 14 -2
20 19 9
6 11 6
5 12 4
15 14 8
2 13 4
14 9 12
20 14 10
13 10 7
14 13 9
11 13 8
6 3 7
6 4 2
14 10 11
5 13 -1
20 13 7
5 1 1
4 20 1
1 10 8
7 11 8
9 12 2
10 17 9
10 3 2
14 5 3
2 14 4
12 3 -1
1 9 3
10 13 9
7 8 6
19 9 4
12 4 5
12 18 8
3 21 9
10 5 7
7 4 4
3 1 7
21 5 6
6 16 6
9 3 4
17 13 9
3 7 11
20 9 2
7 10 1
19 17 8
