vertex_name,position_x,position_y
1,0.1526,-0.2301
2,0.2823,-0.1576
3,-0.1333,0.1124
4,-0.04896,0.1033
5,-0.1381,0.2316
6,-0.2564,-0.1437
7,0.01965,0.08446
8,0.001257,-0.1003
9,0.1038,0.1473
10,-0.04605,0.1151
11,0.2634,-0.04033
12,-0.1907,-0.08079
13,-0.1179,-0.03806
14,-0.1598,-0.2724
15,-0.1112,0.01201
16,-0.09054,0.1145
17,-0.1114,0.04906
18,0.1561,0.1493
19,0.02144,0.1068
20,0.02487,0.1052
21,-0.1959,0.07381
22,-0.05554,0.03392
23,0.3207,0.1771
24,-0.04551,-0.206
25,-0.03085,0.1273
26,-0.0539,0.1634
27,0.03257,0.175
28,0.09792,-0.01117
29,-0.06102,0.1004
30,-0.2604,0.1024
31,-0.02674,0.1223
32,0.09648,-0.2835
33,0.1633,0.2252
34,6.866e-05,-0.02835
35,-0.019,0.1228
36,-0.01783,0.1242
37,-0.06763,0.01927
38,0.3797,-0.1156
39,-0.01678,0.1618
40,0.08226,0.1068
41,-0.2908,-0.1963
42,-0.01827,0.1544
43,0.1164,-0.07601
44,-0.2548,-0.1235
45,-0.05838,0.02104
46,0.3274,0.1051
47,0.01143,0.09594
48,0.2239,0.1632
49,-0.2005,-0.1583
50,-0.05144,-0.04297
51,-0.06366,0.1079
52,-0.04609,0.2585
53,-0.1936,-0.1459
54,-0.05301,0.02598
55,0.1459,0.1518
56,-0.02353,0.08825
57,-0.05188,0.1998
58,-0.009642,0.0679
59,0.0949,0.09081
60,-0.1,0.3682
61,-0.0507,0.2472
62,-0.2262,-0.1038
63,-0.02381,0.1019
64,0.004955,0.2006
65,0.07623,0.1426
66,0.09408,-0.0253
67,0.02952,0.09785
68,-0.1445,0.05637
69,0.05015,0.09278
70,-0.1017,-0.1935
71,0.02767,0.1586
72,-0.1025,0.06318
73,0.4358,0.02756
74,-0.05034,0.1272
75,-0.1436,0.05301
76,0.3527,-0.03995
77,0.02371,0.1637
78,-0.1197,0.1638
79,-0.1446,0.2035
80,-0.07736,0.1013
81,0.1279,0.1875
82,-0.06972,0.09104
83,0.06424,-0.2213
84,-0.1401,-0.257
85,-0.1667,0.1612
86,-0.01209,-0.2847
87,-0.2806,-0.142
88,-0.0682,0.04905
89,0.03159,0.103
90,-0.01847,0.3136
91,-0.1616,0.09021
92,0.2105,0.0466
93,0.1743,-0.2485
94,-0.01094,0.05899
95,-0.006389,0.2169
96,0.001046,0.05097
97,-0.04832,0.00278
98,-0.01343,0.121
99,0.02537,0.1001
100,0.004037,0.2202
101,0.06033,0.06334
102,0.00456,0.1042
103,0.02041,-0.08155
104,-0.2585,-0.04542
105,0.197,0.2572
106,-0.1921,-0.1458
107,0.0895,0.339
108,0.01342,0.08989
109,0.01915,0.1076
110,0.1892,-0.1787
111,-0.07344,-0.3137
112,0.3106,0.01419
113,-0.2458,-0.21
114,0.3283,0.2473
115,0.002755,0.1682
116,-0.3493,0.1082
117,0.304,-0.07204
118,-0.09689,-0.336
119,0.1035,-0.09764
120,-0.1546,0.003517
121,0.01636,0.09661
122,0.3451,0.01239
123,-0.06252,0.1117
124,-0.02267,-0.1427
125,0.06714,0.0966
126,0.0109,0.03235
127,-0.1171,-0.224
128,-0.3628,-0.01466
129,-0.1329,0.07689
130,-0.05943,0.127
131,-0.1538,-0.153
132,-0.003021,0.1055
133,0.03151,0.1327
134,0.121,-0.07655
135,-0.01239,0.1585
136,-0.04145,0.109
137,0.1419,-0.02723
138,-0.002322,0.114
139,-0.04517,0.1251
140,-0.1748,0.1215
141,-0.1607,0.06829
142,-0.208,-0.02141
143,0.411,0.03517
144,-0.09257,0.07968
145,-0.04923,0.1453
146,-0.02214,0.09381
147,0.0869,0.2862
148,-0.05336,0.1138
149,-0.01512,-0.2803
150,0.03002,0.03172
151,-0.1875,-0.2268
152,0.4594,0.02031
153,-0.05177,0.08975
154,0.02944,0.08145
155,-0.1546,-0.3201
156,0.01844,0.06563
157,-0.1642,-0.01395
158,-0.04996,0.09755
159,-0.1302,0.07163
160,0.0115,0.2505
161,-0.1537,-0.2084
162,-0.1406,0.234
163,-0.09952,0.1163
164,-0.02278,0.04815
165,-0.07619,0.1516
166,-0.3441,-0.196
167,-0.136,-0.08857
168,0.1526,0.2425
169,-0.06817,0.0001526
170,0.03747,-0.07475
171,-0.1053,-0.03817
172,-0.03816,0.08131
173,-0.02089,0.104
174,0.3508,0.1749
175,-0.06841,0.1326
176,0.1712,0.2313
177,0.05467,0.000752
178,0.01108,0.06725
179,-0.0154,0.08108
180,0.2851,0.2062
181,0.02708,-0.1025
182,-0.03729,0.08756
183,0.1134,-0.07647
184,0.1428,-0.1851
185,-0.06087,0.1312
186,0.0087,0.08604
187,0.297,-0.02417
188,-0.1655,-0.1732
189,0.09278,-0.129
190,0.1904,0.2429
191,-0.02897,0.1882
192,-0.07344,0.07981
193,0.01841,0.1194
194,-0.1767,0.1547
195,0.03773,0.08257
196,0.1188,0.2412
197,-0.194,-0.05032
198,0.0267,0.03222
199,0.04959,0.241
200,0.01486,0.04468
201,0.3645,0.1475
202,0.07167,0.06013
203,-0.1401,0.1466
204,0.03889,0.06248
205,-0.02455,0.1177
206,-0.06838,0.08599
207,0.05608,-0.03862
208,0.1496,0.002307
209,-0.01038,0.2014
