directed weighted
1 2 -64
1 3 68
1 4 64
1 5 67
1 6 69
1 7 68
1 8 64
1 9 73
1 10 70
1 11 74
1 12 67
1 13 69
1 14 70
1 15 70
1 16 71
2 17 66
2 18 65
2 19 73
2 20 66
2 21 68
2 22 71
2 23 68
2 24 65
2 25 71
2 26 73
2 27 68
2 28 72
2 29 71
2 30 70
2 31 74
3 32 49
3 33 -37
3 34 41
3 35 40
3 36 44
3 37 38
3 38 42
3 39 47
3 40 38
3 41 45
3 42 45
3 43 39
3 44 42
3 45 41
3 46 39
4 47 53
4 48 -22
4 49 29
4 50 26
4 51 31
4 52 23
4 53 25
4 54 26
4 55 29
4 56 32
4 57 32
4 58 22
4 59 30
4 60 30
4 61 32
5 62 5
5 63 -3
5 64 3
5 65 6
5 66 5
5 67 13
5 68 13
5 69 6
5 70 5
5 71 5
5 72 12
5 73 12
5 74 6
5 75 4
5 76 9
6 77 -30
6 78 34
6 79 30
6 80 40
6 81 31
6 82 32
6 83 30
6 84 36
6 85 36
6 86 33
6 87 38
6 88 32
6 89 35
6 90 31
6 91 35
7 92 -44
7 93 50
7 94 53
7 95 50
7 96 50
7 97 50
7 98 44
7 99 45
7 100 48
7 101 44
7 102 53
7 103 53
7 104 46
7 105 51
7 106 53
8 107 -14
8 108 17
8 109 20
8 110 17
8 111 19
8 112 22
8 113 23
8 114 21
8 115 18
8 116 21
8 117 20
8 118 20
8 119 15
8 120 24
8 121 20
9 122 8
9 123 -7
9 124 9
9 125 15
9 126 13
9 127 12
9 128 9
9 129 7
9 130 9
9 131 10
9 132 13
9 133 9
9 134 17
9 135 10
9 136 14
10 137 -16
10 138 19
10 139 19
10 140 26
10 141 17
10 142 16
10 143 17
10 144 21
10 145 25
10 146 24
10 147 25
10 148 24
10 149 17
10 150 24
10 151 25
11 152 -67
11 153 72
11 154 67
11 155 74
11 156 73
11 157 76
11 158 71
11 159 68
11 160 76
11 161 71
11 162 73
11 163 74
11 164 73
11 165 77
11 166 72
12 167 -58
12 168 61
12 169 64
12 170 67
12 171 65
12 172 58
12 173 66
12 174 67
12 175 59
12 176 67
12 177 66
12 178 65
12 179 63
12 180 59
12 181 65
13 182 11
13 183 -8
13 184 14
13 185 17
13 186 11
13 187 14
13 188 14
13 189 11
13 190 9
13 191 11
13 192 8
13 193 18
13 194 10
13 195 8
13 196 18
14 197 46
14 198 45
14 199 -26
14 200 35
14 201 30
14 202 36
14 203 28
14 204 28
14 205 32
14 206 32
14 207 26
14 208 29
14 209 27
14 210 26
14 211 33
15 212 -34
15 213 34
15 214 39
15 215 39
15 216 39
15 217 44
15 218 35
15 219 34
15 220 37
15 221 43
15 222 42
15 223 44
15 224 36
15 225 36
15 226 44
16 227 11
16 228 8
16 229 -8
16 230 8
16 231 16
16 232 15
16 233 8
16 234 12
16 235 12
16 236 14
16 237 10
16 238 14
16 239 9
16 240 17
16 241 10
17 242 -18
17 243 18
17 244 21
17 245 18
17 246 24
17 247 22
17 248 22
17 249 22
17 250 27
17 251 18
17 252 26
17 253 26
17 254 25
17 255 27
17 256 25
18 257 -40
18 258 49
18 259 40
18 260 43
18 261 41
18 262 42
18 263 47
18 264 50
18 265 41
18 266 40
18 267 46
18 268 41
18 269 50
18 270 46
18 271 43
19 272 57
19 273 -37
19 274 40
19 275 42
19 276 42
19 277 43
19 278 43
19 279 46
19 280 38
19 281 40
19 282 44
19 283 37
19 284 40
19 285 45
19 286 40
20 287 -58
20 288 63
20 289 66
20 290 66
20 291 60
20 292 61
20 293 61
20 294 59
20 295 67
20 296 64
20 297 58
20 298 58
20 299 68
20 300 63
20 301 65
21 302 -19
21 303 21
21 304 26
21 305 25
21 306 29
21 307 27
21 308 19
21 309 21
21 310 23
21 311 21
21 312 24
21 313 26
21 314 26
21 315 26
21 316 26
22 317 12
22 318 2
22 319 4
22 320 4
22 321 8
22 322 7
22 323 7
22 324 0
22 325 1
22 326 7
22 327 1
22 328 8
22 329 6
22 330 1
22 331 8
23 332 55
23 333 19
23 334 7
23 335 6
23 336 1
23 337 3
23 338 3
23 339 2
23 340 3
23 341 8
23 342 9
23 343 1
23 344 1
23 345 5
23 346 9
24 347 18
24 348 -4
24 349 11
24 350 8
24 351 4
24 352 13
24 353 14
24 354 7
24 355 10
24 356 8
24 357 8
24 358 4
24 359 4
24 360 4
24 361 4
25 362 13
25 363 12
25 364 -4
25 365 13
25 366 6
25 367 9
25 368 9
25 369 13
25 370 5
25 371 10
25 372 14
25 373 11
25 374 14
25 375 8
25 376 5
26 377 -37
26 378 37
26 379 44
26 380 37
26 381 47
26 382 39
26 383 41
26 384 38
26 385 45
26 386 43
26 387 43
26 388 44
26 389 45
26 390 43
26 391 42
27 392 68
27 393 62
27 394 -29
27 395 34
27 396 35
27 397 31
27 398 35
27 399 32
27 400 31
27 401 33
27 402 38
27 403 31
27 404 32
27 405 39
27 406 33
28 407 -59
28 408 67
28 409 68
28 410 69
28 411 66
28 412 68
28 413 69
28 414 60
28 415 61
28 416 64
28 417 64
28 418 68
28 419 59
28 420 68
28 421 60
29 422 -27
29 423 35
29 424 31
29 425 37
29 426 28
29 427 30
29 428 36
29 429 31
29 430 30
29 431 34
29 432 29
29 433 31
29 434 29
29 435 29
29 436 30
30 437 -2
30 438 11
30 439 6
30 440 5
30 441 8
30 442 8
30 443 5
30 444 9
30 445 4
30 446 2
30 447 9
30 448 7
30 449 2
30 450 11
30 451 6
31 452 13
31 453 12
31 454 0
31 455 6
31 456 6
31 457 6
31 458 9
31 459 3
31 460 10
31 461 3
31 462 9
31 463 5
31 464 9
31 465 1
31 466 4
32 467 -3
32 468 3
32 469 13
32 470 8
32 471 3
32 472 9
32 473 7
32 474 8
32 475 11
32 476 10
32 477 10
32 478 10
32 479 8
32 480 9
32 481 11
33 482 37
33 483 44
33 484 43
33 485 43
33 486 44
33 487 42
33 488 42
